SampleID	Sample number	Genotype_compartment	Genotype_compartment_inoculum	Genotype	Inoculum	Bio_rep	Cluster
Gifu_2	340	Gifu_RZ	Gifu_RZ_SC	Gifu	SC	two	zero
Stick_NI_3	341	Stick_RZ	Stick_RZ_NI	Stick	NI	two	four
Stick_NI_4	342	Stick_RZ	Stick_RZ_NI	Stick	NI	two	four
Stick_SC_3	343	Stick_RZ	Stick_RZ_SC	Stick	SC	two	four
Stick_SC_4	344	Stick_RZ	Stick_RZ_SC	Stick	SC	two	four
SC_7	345	Input_Culture	Input_Culture_SC	Input_Culture	SC	three	four
SC_8	346	Input_Culture	Input_Culture_SC	Input_Culture	SC	three	four
SC_9	347	Input_Culture	Input_Culture_SC	Input_Culture	SC	three	four
MG1_3	348	MG1_RZ	MG1_RZ_SC	MG1	SC	three	zero
MG2_3	349	MG2_RZ	MG2_RZ_SC	MG2	SC	three	two
MG3_3	350	MG3_RZ	MG3_RZ_SC	MG3	SC	three	two
MG4_3	351	MG4_RZ	MG4_RZ_SC	MG4	SC	three	zero
MG5_3	352	MG5_RZ	MG5_RZ_SC	MG5	SC	three	zero
MG6_3	353	MG6_RZ	MG6_RZ_SC	MG6	SC	three	zero
MG7_3	354	MG7_RZ	MG7_RZ_SC	MG7	SC	three	zero
MG8_3	355	MG8_RZ	MG8_RZ_SC	MG8	SC	three	zero
MG9_3	356	MG9_RZ	MG9_RZ_SC	MG9	SC	three	zero
MG10_3	357	MG10_RZ	MG10_RZ_SC	MG10	SC	three	zero
